Winner;Black Score;White Score;;;;
4 Layer;47;17;;4 Layer Wins;AI Wins;Draws
4 Layer;37;27;;36;58;5
4 Layer;33;31;;;;
Draw;32;32;;;;
AI Opponent - Easy;17;47;;;;
AI Opponent - Easy;23;41;;;;
AI Opponent - Easy;29;35;;;;
AI Opponent - Easy;28;36;;;;
4 Layer;34;30;;;;
AI Opponent - Easy;29;35;;;;
AI Opponent - Easy;26;38;;;;
4 Layer;33;31;;;;
AI Opponent - Easy;25;39;;;;
4 Layer;54;10;;;;
AI Opponent - Easy;30;34;;;;
4 Layer;46;18;;;;
AI Opponent - Easy;16;48;;;;
4 Layer;42;22;;;;
AI Opponent - Easy;23;41;;;;
4 Layer;34;30;;;;
4 Layer;44;20;;;;
4 Layer;35;29;;;;
AI Opponent - Easy;21;43;;;;
AI Opponent - Easy;0;44;;;;
4 Layer;38;26;;;;
4 Layer;53;11;;;;
4 Layer;47;17;;;;
AI Opponent - Easy;24;40;;;;
AI Opponent - Easy;30;34;;;;
AI Opponent - Easy;20;44;;;;
Draw;32;32;;;;
AI Opponent - Easy;25;39;;;;
4 Layer;45;19;;;;
4 Layer;37;27;;;;
AI Opponent - Easy;14;50;;;;
AI Opponent - Easy;19;45;;;;
AI Opponent - Easy;2;61;;;;
4 Layer;35;29;;;;
AI Opponent - Easy;16;47;;;;
4 Layer;41;23;;;;
AI Opponent - Easy;13;51;;;;
AI Opponent - Easy;24;40;;;;
4 Layer;36;28;;;;
AI Opponent - Easy;15;49;;;;
AI Opponent - Easy;13;51;;;;
AI Opponent - Easy;31;32;;;;
4 Layer;37;27;;;;
4 Layer;36;28;;;;
AI Opponent - Easy;24;40;;;;
4 Layer;37;27;;;;
AI Opponent - Easy;21;43;;;;
AI Opponent - Easy;18;46;;;;
AI Opponent - Easy;25;39;;;;
4 Layer;45;19;;;;
AI Opponent - Easy;18;46;;;;
AI Opponent - Easy;26;38;;;;
AI Opponent - Easy;23;41;;;;
4 Layer;35;29;;;;
AI Opponent - Easy;27;37;;;;
AI Opponent - Easy;28;36;;;;
AI Opponent - Easy;1;53;;;;
AI Opponent - Easy;28;36;;;;
AI Opponent - Easy;6;57;;;;
AI Opponent - Easy;20;44;;;;
AI Opponent - Easy;30;34;;;;
AI Opponent - Easy;24;40;;;;
4 Layer;34;30;;;;
4 Layer;44;20;;;;
4 Layer;38;26;;;;
4 Layer;33;31;;;;
AI Opponent - Easy;8;56;;;;
AI Opponent - Easy;15;49;;;;
AI Opponent - Easy;17;47;;;;
AI Opponent - Easy;21;43;;;;
AI Opponent - Easy;26;38;;;;
AI Opponent - Easy;1;35;;;;
AI Opponent - Easy;29;35;;;;
Draw;32;32;;;;
4 Layer;39;25;;;;
4 Layer;50;14;;;;
AI Opponent - Easy;20;44;;;;
4 Layer;35;29;;;;
AI Opponent - Easy;5;57;;;;
AI Opponent - Easy;24;40;;;;
AI Opponent - Easy;10;54;;;;
Draw;32;32;;;;
Draw;32;32;;;;
4 Layer;34;30;;;;
AI Opponent - Easy;14;49;;;;
AI Opponent - Easy;21;43;;;;
AI Opponent - Easy;5;57;;;;
AI Opponent - Easy;0;57;;;;
AI Opponent - Easy;1;57;;;;
4 Layer;49;15;;;;
AI Opponent - Easy;29;35;;;;
AI Opponent - Easy;24;40;;;;
4 Layer;43;21;;;;
4 Layer;39;25;;;;
4 Layer;37;27;;;;
