Winner;Black Score;White Score;;;;
AI Opponent - Easy;2;59;;DQN Wins;AI Wins;Draw
AI Opponent - Easy;25;39;;39;59;3
AI Opponent - Easy;15;49;;;;
DQN;44;20;;;;
AI Opponent - Easy;15;49;;;;
AI Opponent - Easy;28;36;;;;
DQN;45;19;;;;
DQN;34;30;;;;
Draw;32;32;;;;
DQN;52;12;;;;
AI Opponent - Easy;23;41;;;;
AI Opponent - Easy;0;62;;;;
AI Opponent - Easy;15;49;;;;
AI Opponent - Easy;24;40;;;;
AI Opponent - Easy;12;52;;;;
AI Opponent - Easy;8;56;;;;
DQN;39;25;;;;
AI Opponent - Easy;14;50;;;;
DQN;41;23;;;;
AI Opponent - Easy;26;38;;;;
AI Opponent - Easy;22;42;;;;
DQN;42;22;;;;
AI Opponent - Easy;8;56;;;;
DQN;42;22;;;;
AI Opponent - Easy;31;33;;;;
AI Opponent - Easy;26;38;;;;
DQN;42;22;;;;
AI Opponent - Easy;16;48;;;;
AI Opponent - Easy;26;38;;;;
AI Opponent - Easy;31;33;;;;
DQN;39;25;;;;
AI Opponent - Easy;15;49;;;;
AI Opponent - Easy;22;42;;;;
DQN;37;27;;;;
AI Opponent - Easy;4;52;;;;
AI Opponent - Easy;26;38;;;;
AI Opponent - Easy;17;47;;;;
AI Opponent - Easy;19;45;;;;
AI Opponent - Easy;13;51;;;;
AI Opponent - Easy;28;36;;;;
DQN;41;23;;;;
DQN;55;9;;;;
AI Opponent - Easy;24;40;;;;
AI Opponent - Easy;29;35;;;;
AI Opponent - Easy;25;39;;;;
DQN;34;29;;;;
AI Opponent - Easy;13;51;;;;
DQN;55;9;;;;
DQN;33;31;;;;
Draw;32;32;;;;
DQN;41;23;;;;
DQN;47;17;;;;
DQN;33;31;;;;
AI Opponent - Easy;3;61;;;;
DQN;43;21;;;;
DQN;35;29;;;;
AI Opponent - Easy;15;49;;;;
AI Opponent - Easy;25;39;;;;
AI Opponent - Easy;23;41;;;;
DQN;46;18;;;;
AI Opponent - Easy;9;55;;;;
AI Opponent - Easy;27;37;;;;
DQN;44;20;;;;
DQN;42;22;;;;
AI Opponent - Easy;15;49;;;;
DQN;35;29;;;;
DQN;35;29;;;;
AI Opponent - Easy;27;37;;;;
AI Opponent - Easy;15;49;;;;
AI Opponent - Easy;28;36;;;;
AI Opponent - Easy;24;40;;;;
AI Opponent - Easy;30;34;;;;
AI Opponent - Easy;18;46;;;;
DQN;43;21;;;;
AI Opponent - Easy;29;35;;;;
DQN;47;17;;;;
DQN;40;24;;;;
AI Opponent - Easy;29;35;;;;
DQN;43;21;;;;
AI Opponent - Easy;30;34;;;;
DQN;37;27;;;;
Draw;32;32;;;;
AI Opponent - Easy;17;47;;;;
AI Opponent - Easy;0;50;;;;
AI Opponent - Easy;7;57;;;;
AI Opponent - Easy;21;43;;;;
AI Opponent - Easy;0;42;;;;
DQN;35;29;;;;
DQN;34;30;;;;
AI Opponent - Easy;25;39;;;;
DQN;36;28;;;;
DQN;34;30;;;;
AI Opponent - Easy;30;34;;;;
DQN;41;23;;;;
AI Opponent - Easy;24;40;;;;
DQN;47;17;;;;
AI Opponent - Easy;22;42;;;;
DQN;36;28;;;;
DQN;39;25;;;;
AI Opponent - Easy;29;35;;;;
